Movie,Year,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Avengers: Endgame,2019,Robert Downey Jr.,"Apr 23, 2019",400000000,858373000,2797800564
Avengers: Endgame,2019,Chris Evans,"Apr 23, 2019",400000000,858373000,2797800564
Avengers: Endgame,2019,Mark Ruffalo,"Apr 23, 2019",400000000,858373000,2797800564
Avengers: Endgame,2019,Chris Hemsworth,"Apr 23, 2019",400000000,858373000,2797800564
Avatar,2009,Sam Worthington,"Dec 17, 2009",237000000,760507625,2788701337
Avatar,2009,Zoe Saldana,"Dec 17, 2009",237000000,760507625,2788701337
Avatar,2009,Sigourney Weaver,"Dec 17, 2009",237000000,760507625,2788701337
Avatar,2009,Michelle Rodriguez,"Dec 17, 2009",237000000,760507625,2788701337
Black Panther,2018,Chadwick Boseman,"Feb 13, 2018",200000000,700059566,1346103376
Black Panther,2018,Michael B. Jordan,"Feb 13, 2018",200000000,700059566,1346103376
Black Panther,2018,Lupita Nyong'o,"Feb 13, 2018",200000000,700059566,1346103376
Black Panther,2018,Danai Gurira,"Feb 13, 2018",200000000,700059566,1346103376
Avengers: Infinity War,2018,Robert Downey Jr.,"Apr 25, 2018",300000000,678815482,2048359754
Avengers: Infinity War,2018,Chris Hemsworth,"Apr 25, 2018",300000000,678815482,2048359754
Avengers: Infinity War,2018,Mark Ruffalo,"Apr 25, 2018",300000000,678815482,2048359754
Avengers: Infinity War,2018,Chris Evans,"Apr 25, 2018",300000000,678815482,2048359754
Titanic,1997,Leonardo DiCaprio,"Dec 18, 1997",200000000,659363944,2208208395
Titanic,1997,Kate Winslet,"Dec 18, 1997",200000000,659363944,2208208395
Titanic,1997,Billy Zane,"Dec 18, 1997",200000000,659363944,2208208395
Titanic,1997,Kathy Bates,"Dec 18, 1997",200000000,659363944,2208208395
Jurassic World,2015,Chris Pratt,"Jun 9, 2015",215000000,652270625,1670400637
Jurassic World,2015,Bryce Dallas Howard,"Jun 9, 2015",215000000,652270625,1670400637
Jurassic World,2015,Ty Simpkins,"Jun 9, 2015",215000000,652270625,1670400637
Jurassic World,2015,Judy Greer,"Jun 9, 2015",215000000,652270625,1670400637
The Avengers,2012,Robert Downey Jr.,"Apr 25, 2012",225000000,623357910,1515100211
The Avengers,2012,Chris Evans,"Apr 25, 2012",225000000,623357910,1515100211
The Avengers,2012,Scarlett Johansson,"Apr 25, 2012",225000000,623357910,1515100211
The Avengers,2012,Jeremy Renner,"Apr 25, 2012",225000000,623357910,1515100211
Incredibles 2,2018,Craig T. Nelson,"Jun 15, 2018",200000000,608581744,1242805359
Incredibles 2,2018,Holly Hunter,"Jun 15, 2018",200000000,608581744,1242805359
Incredibles 2,2018,Sarah Vowell,"Jun 15, 2018",200000000,608581744,1242805359
Incredibles 2,2018,Huck Milner,"Jun 15, 2018",200000000,608581744,1242805359
The Lion King,2019,Donald Glover,"Jul 11, 2019",260000000,543638043,1656943394
The Lion King,2019,Beyoncé,"Jul 11, 2019",260000000,543638043,1656943394
The Lion King,2019,Seth Rogen,"Jul 11, 2019",260000000,543638043,1656943394
The Lion King,2019,Chiwetel Ejiofor,"Jul 11, 2019",260000000,543638043,1656943394
The Dark Knight,2008,Christian Bale,"Jul 11, 2008",185000000,533720947,1000742751
The Dark Knight,2008,Heath Ledger,"Jul 11, 2008",185000000,533720947,1000742751
The Dark Knight,2008,Aaron Eckhart,"Jul 11, 2008",185000000,533720947,1000742751
The Dark Knight,2008,Michael Caine,"Jul 11, 2008",185000000,533720947,1000742751
Rogue One: A Star Wars Story,2016,Felicity Jones,"Dec 14, 2016",200000000,532177324,1056057273
Rogue One: A Star Wars Story,2016,Diego Luna,"Dec 14, 2016",200000000,532177324,1056057273
Rogue One: A Star Wars Story,2016,Alan Tudyk,"Dec 14, 2016",200000000,532177324,1056057273
Rogue One: A Star Wars Story,2016,Donnie Yen,"Dec 14, 2016",200000000,532177324,1056057273
Beauty and the Beast,2017,Emma Watson,"Mar 16, 2017",160000000,504014165,1258954704
Beauty and the Beast,2017,Dan Stevens,"Mar 16, 2017",160000000,504014165,1258954704
Beauty and the Beast,2017,Luke Evans,"Mar 16, 2017",160000000,504014165,1258954704
Beauty and the Beast,2017,Josh Gad,"Mar 16, 2017",160000000,504014165,1258954704
Finding Dory,2016,Ellen DeGeneres,"Jun 16, 2016",200000000,486295561,1025363627
Finding Dory,2016,Albert Brooks,"Jun 16, 2016",200000000,486295561,1025363627
Finding Dory,2016,Ed O'Neill,"Jun 16, 2016",200000000,486295561,1025363627
Finding Dory,2016,Kaitlin Olson,"Jun 16, 2016",200000000,486295561,1025363627
Frozen II,2019,Kristen Bell,"Nov 20, 2019",150000000,477373578,1447549711
Frozen II,2019,Idina Menzel,"Nov 20, 2019",150000000,477373578,1447549711
Frozen II,2019,Josh Gad,"Nov 20, 2019",150000000,477373578,1447549711
Frozen II,2019,Jonathan Groff,"Nov 20, 2019",150000000,477373578,1447549711
Avengers: Age of Ultron,2015,Robert Downey Jr.,"Apr 22, 2015",365000000,459005868,1396099202
