Movie,Year,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Avengers: Endgame,2019,Joe Russo,"Apr 23, 2019",400000000,858373000,2797800564
Avengers: Endgame,2019,Anthony Russo,"Apr 23, 2019",400000000,858373000,2797800564
Avatar,2009,James Cameron,"Dec 17, 2009",237000000,760507625,2788701337
Black Panther,2018,Ryan Coogler,"Feb 13, 2018",200000000,700059566,1346103376
Avengers: Infinity War,2018,Joe Russo,"Apr 25, 2018",300000000,678815482,2048359754
Avengers: Infinity War,2018,Anthony Russo,"Apr 25, 2018",300000000,678815482,2048359754
Titanic,1997,James Cameron,"Dec 18, 1997",200000000,659363944,2208208395
Jurassic World,2015,Colin Trevorrow,"Jun 9, 2015",215000000,652270625,1670400637
The Avengers,2012,Joss Whedon,"Apr 25, 2012",225000000,623357910,1515100211
Incredibles 2,2018,Brad Bird,"Jun 15, 2018",200000000,608581744,1242805359
The Lion King,2019,Jon Favreau,"Jul 11, 2019",260000000,543638043,1656943394
The Dark Knight,2008,Christopher Nolan,"Jul 11, 2008",185000000,533720947,1000742751
Rogue One: A Star Wars Story,2016,Gareth Edwards,"Dec 14, 2016",200000000,532177324,1056057273
Beauty and the Beast,2017,Bill Condon,"Mar 16, 2017",160000000,504014165,1258954704
Finding Dory,2016,Angus MacLane,"Jun 16, 2016",200000000,486295561,1025363627
Finding Dory,2016,Andrew Stanton,"Jun 16, 2016",200000000,486295561,1025363627
Frozen II,2019,Jennifer Lee,"Nov 20, 2019",150000000,477373578,1447549711
Frozen II,2019,Chris Buck,"Nov 20, 2019",150000000,477373578,1447549711
Avengers: Age of Ultron,2015,Joss Whedon,"Apr 22, 2015",365000000,459005868,1396099202
The Dark Knight Rises,2012,Christopher Nolan,"Jul 19, 2012",230000000,448139099,1082228107
Shrek 2,2004,Conrad Vernon,"May 19, 2004",70000000,441226247,935253978
Shrek 2,2004,Kelly Asbury,"May 19, 2004",70000000,441226247,935253978
Shrek 2,2004,Andrew Adamson,"May 19, 2004",70000000,441226247,935253978
Toy Story 4,2019,Josh Cooley,"Jun 20, 2019",200000000,434038008,1073394813
Captain Marvel,2019,Ryan Fleck,"Mar 6, 2019",175000000,426829839,1129729839
Captain Marvel,2019,Anna Boden,"Mar 6, 2019",175000000,426829839,1129729839
