Movie,Year,IMDb,Rating,Runtime,Genre
Star Wars: Episode VII - The Force Awakens,2015,7.9,PG-13,138,"Action, Adventure, Sci-Fi"
Avengers: Endgame,2019,8.4,PG-13,181,"Action, Adventure, Drama"
Avatar,2009,7.8,PG-13,162,"Action, Adventure, Fantasy"
Black Panther,2018,7.3,PG-13,134,"Action, Adventure, Sci-Fi"
Avengers: Infinity War,2018,8.4,PG-13,149,"Action, Adventure, Sci-Fi"
Titanic,1997,7.8,PG-13,194,"Drama, Romance"
Jurassic World,2015,7.0,PG-13,124,"Action, Adventure, Sci-Fi"
The Avengers,2012,8.0,PG-13,143,"Action, Adventure, Sci-Fi"
Star Wars: Episode VIII - The Last Jedi,2017,7.0,PG-13,152,"Action, Adventure, Fantasy"
Incredibles 2,2018,7.6,PG,118,"Animation, Action, Adventure"
The Lion King,2019,6.9,PG,118,"Animation, Adventure, Drama"
The Dark Knight,2008,9.0,PG-13,152,"Action, Crime, Drama"
Rogue One: A Star Wars Story,2016,7.8,PG-13,133,"Action, Adventure, Sci-Fi"
Star Wars: The Rise Of Skywalker,2019,6.7,PG-13,142,"Action, Adventure, Fantasy"
Beauty and the Beast,2017,7.1,PG,129,"Family, Fantasy, Musical"
Finding Dory,2016,7.3,PG,97,"Animation, Adventure, Comedy"
Frozen II,2019,6.9,PG,103,"Animation, Adventure, Comedy"
Star Wars: Episode I - The Phantom Menace,1999,6.5,PG,136,"Action, Adventure, Fantasy"
Avengers: Age of Ultron,2015,7.3,PG-13,141,"Action, Adventure, Sci-Fi"
The Dark Knight Rises,2012,8.4,PG-13,164,"Action, Adventure"
Shrek 2,2004,7.2,PG,93,"Animation, Adventure, Comedy"
E.T. the Extra-Terrestrial,1982,7.8,PG,115,"Family, Sci-Fi"
Toy Story 4,2019,7.8,G,100,"Animation, Adventure, Comedy"
Captain Marvel,2019,6.9,PG-13,123,"Action, Adventure, Sci-Fi"
The Hunger Games: Catching Fire,2013,7.5,PG-13,146,"Action, Adventure, Mystery"
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,PG-13,151,"Action, Adventure, Fantasy"
The Lion King,1994,8.5,G,88,"Animation, Adventure, Drama"
