Movie,Year,IMDb,Rating,Runtime,Genre,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Avengers: Endgame,2019,8.4,PG-13,181,"Action, Adventure, Drama","Apr 23, 2019",400000000,858373000,2797800564
Avatar,2009,7.8,PG-13,162,"Action, Adventure, Fantasy","Dec 17, 2009",237000000,760507625,2788701337
Black Panther,2018,7.3,PG-13,134,"Action, Adventure, Sci-Fi","Feb 13, 2018",200000000,700059566,1346103376
Avengers: Infinity War,2018,8.4,PG-13,149,"Action, Adventure, Sci-Fi","Apr 25, 2018",300000000,678815482,2048359754
Titanic,1997,7.8,PG-13,194,"Drama, Romance","Dec 18, 1997",200000000,659363944,2208208395
Jurassic World,2015,7.0,PG-13,124,"Action, Adventure, Sci-Fi","Jun 9, 2015",215000000,652270625,1670400637
The Avengers,2012,8.0,PG-13,143,"Action, Adventure, Sci-Fi","Apr 25, 2012",225000000,623357910,1515100211
Incredibles 2,2018,7.6,PG,118,"Animation, Action, Adventure","Jun 15, 2018",200000000,608581744,1242805359
The Lion King,2019,6.9,PG,118,"Animation, Adventure, Drama","Jul 11, 2019",260000000,543638043,1656943394
The Dark Knight,2008,9.0,PG-13,152,"Action, Crime, Drama","Jul 11, 2008",185000000,533720947,1000742751
Rogue One: A Star Wars Story,2016,7.8,PG-13,133,"Action, Adventure, Sci-Fi","Dec 14, 2016",200000000,532177324,1056057273
Beauty and the Beast,2017,7.1,PG,129,"Family, Fantasy, Musical","Mar 16, 2017",160000000,504014165,1258954704
Finding Dory,2016,7.3,PG,97,"Animation, Adventure, Comedy","Jun 16, 2016",200000000,486295561,1025363627
Frozen II,2019,6.9,PG,103,"Animation, Adventure, Comedy","Nov 20, 2019",150000000,477373578,1447549711
Avengers: Age of Ultron,2015,7.3,PG-13,141,"Action, Adventure, Sci-Fi","Apr 22, 2015",365000000,459005868,1396099202
The Dark Knight Rises,2012,8.4,PG-13,164,"Action, Adventure","Jul 19, 2012",230000000,448139099,1082228107
Shrek 2,2004,7.2,PG,93,"Animation, Adventure, Comedy","May 19, 2004",70000000,441226247,935253978
Toy Story 4,2019,7.8,G,100,"Animation, Adventure, Comedy","Jun 20, 2019",200000000,434038008,1073394813
Captain Marvel,2019,6.9,PG-13,123,"Action, Adventure, Sci-Fi","Mar 6, 2019",175000000,426829839,1129729839
