,film_name,film_year,awards_won,awards_nominated,win_rate
0,Parasite,2019,4,6,0.667
1,Ford v Ferrari,2019,2,4,0.5
2,Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1,1.0
3,The Neighbors' Window,2019,1,1,1.0
4,Little Women,2019,1,6,0.167
5,Marriage Story,2019,1,6,0.167
6,Jojo Rabbit,2019,1,6,0.167
7,Toy Story 4,2019,1,2,0.5
8,Joker,2019,2,11,0.182
9,Once Upon a Time in Hollywood,2019,2,10,0.2
10,1917,2019,3,10,0.3
11,Judy,2019,1,2,0.5
12,Bombshell,2019,1,3,0.333
13,Rocketman,2019,1,1,1.0
14,American Factory,2019,1,1,1.0
15,Hair Love,2019,1,1,1.0
16,Green Book,2018,3,5,0.6
17,Bohemian Rhapsody,2018,4,5,0.8
18,Roma,2018,3,10,0.3
19,Black Panther,2018,3,7,0.429
20,The Favourite,2018,1,10,0.1
21,A Star Is Born,2018,1,8,0.125
22,Vice,2018,1,8,0.125
23,BlacKkKlansman,2018,1,6,0.167
24,First Man,2018,1,4,0.25
25,If Beale Street Could Talk,2018,1,3,0.333
26,Bao,2018,1,1,1.0
27,Free Solo,2018,1,1,1.0
28,Period. End of Sentence.,2018,1,1,1.0
29,Skin,2018,1,1,1.0
30,Spider-Man: Into the Spider-Verse,2018,1,1,1.0
31,The Shape of Water,2017,4,13,0.308
32,Dunkirk,2017,3,8,0.375
33,"Three Billboards Outside Ebbing, Missouri",2017,2,7,0.286
34,Darkest Hour,2017,2,6,0.333
35,Blade Runner 2049,2017,2,5,0.4
36,Coco,2017,2,2,1.0
37,Phantom Thread,2017,1,6,0.167
38,Call Me by Your Name,2017,1,4,0.25
39,Get Out,2017,1,4,0.25
40,"I, Tonya",2017,1,3,0.333
41,Dear Basketball,2017,1,1,1.0
42,A Fantastic Woman,2017,1,1,1.0
43,Heaven Is a Traffic Jam on the 405,2017,1,1,1.0
44,Icarus,2017,1,1,1.0
45,The Silent Child,2017,1,1,1.0
46,Flesh and Sand (Carne y arena),2017,0,0,
47,Moonlight,2016,3,8,0.375
48,La La Land,2016,6,14,0.429
49,Hacksaw Ridge,2016,2,6,0.333
50,Manchester by the Sea,2016,2,6,0.333
51,Arrival,2016,1,8,0.125
52,Fences,2016,1,4,0.25
53,Fantastic Beasts and Where to Find Them,2016,1,2,0.5
54,The Jungle Book,2016,1,1,1.0
55,O.J.: Made in America,2016,1,1,1.0
56,Piper,2016,1,1,1.0
57,The Salesman,2016,1,1,1.0
58,Sing,2016,1,1,1.0
59,Suicide Squad,2016,1,1,1.0
60,The White Helmets,2016,1,1,1.0
61,Zootopia,2016,1,1,1.0
62,Spotlight,2015,2,6,0.333
63,Mad Max: Fury Road,2015,6,10,0.6
64,The Revenant,2015,3,12,0.25
65,Bridge of Spies,2015,1,6,0.167
66,The Big Short,2015,1,5,0.2
67,The Danish Girl,2015,1,4,0.25
68,Room,2015,1,4,0.25
69,The Hateful Eight,2015,1,3,0.333
70,Ex Machina,2015,1,2,0.5
71,Inside Out,2015,1,2,0.5
72,Amy,2015,1,1,1.0
73,Bear Story,2015,1,1,1.0
74,A Girl in the River: The Price of Forgiveness,2015,1,1,1.0
75,Son of Saul,2015,1,1,1.0
76,Spectre,2015,1,1,1.0
77,Stutterer,2015,1,1,1.0
78,Birdman,2014,4,9,0.444
79,The Grand Budapest Hotel,2014,4,9,0.444
80,Whiplash,2014,3,5,0.6
81,The Imitation Game,2014,1,8,0.125
82,American Sniper,2014,1,6,0.167
83,Boyhood,2014,1,6,0.167
84,Interstellar,2014,1,5,0.2
85,The Theory of Everything,2014,1,5,0.2
86,Ida,2014,1,2,0.5
87,Selma,2014,1,2,0.5
88,Citizenfour,2014,1,1,1.0
89,Big Hero 6,2014,1,1,1.0
90,Crisis Hotline: Veterans Press 1,2014,1,1,1.0
91,The Phone Call,2014,1,1,1.0
92,Still Alice,2014,1,1,1.0
93,Feast,2014,1,1,1.0
94,12 Years a Slave,2013,3,9,0.333
95,Gravity,2013,7,10,0.7
96,Dallas Buyers Club,2013,3,6,0.5
97,Frozen,2013,2,2,1.0
98,The Great Gatsby,2013,2,2,1.0
99,Her,2013,1,5,0.2
100,Blue Jasmine,2013,1,3,0.333
101,Mr Hublot,2013,1,1,1.0
102,The Lady in Number 6,2013,1,1,1.0
103,Helium,2013,1,1,1.0
104,The Great Beauty,2013,1,1,1.0
105,20 Feet from Stardom,2013,1,1,1.0
106,Argo,2012,3,7,0.429
107,Life of Pi,2012,4,11,0.364
108,Les Misérables,2012,3,8,0.375
109,Lincoln,2012,2,12,0.167
110,Django Unchained,2012,2,5,0.4
111,Skyfall,2012,2,5,0.4
112,Silver Linings Playbook,2012,1,8,0.125
113,Zero Dark Thirty,2012,1,5,0.2
114,Amour,2012,1,5,0.2
115,Anna Karenina,2012,1,4,0.25
116,Paperman,2012,1,1,1.0
117,Brave,2012,1,1,1.0
118,Searching for Sugar Man,2012,1,1,1.0
119,Inocente,2012,1,1,1.0
120,Curfew,2012,1,1,1.0
121,The Artist,2011,5,10,0.5
122,Hugo,2011,5,11,0.455
123,The Iron Lady,2011,2,2,1.0
124,The Descendants,2011,1,5,0.2
125,The Girl with the Dragon Tattoo,2011,1,5,0.2
126,Midnight in Paris,2011,1,4,0.25
127,The Help,2011,1,4,0.25
128,A Separation,2011,1,2,0.5
129,The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1,1.0
130,The Shore,2011,1,1,1.0
131,Undefeated,2011,1,1,1.0
132,The Muppets,2011,1,1,1.0
133,Saving Face,2011,1,1,1.0
134,Beginners,2011,1,1,1.0
135,Rango,2011,1,1,1.0
136,The King's Speech,2010,4,12,0.333
137,Inception,2010,4,8,0.5
138,The Social Network,2010,3,8,0.375
139,The Fighter,2010,2,7,0.286
140,Toy Story 3,2010,2,5,0.4
141,Alice in Wonderland,2010,2,3,0.667
142,Black Swan,2010,1,5,0.2
143,In a Better World,2010,1,1,1.0
