,movie,release_date,release_month,release_day,release_year
0,Metropolis,1927-03-06,March,Sunday,1927
1,"Dr. Mabuse, the Gambler",1927-08-08,August,Monday,1927
2,The Unknown,1927-06-03,June,Friday,1927
3,The Jazz Singer,1927-10-06,October,Thursday,1927
4,Chicago,1927-12-23,December,Friday,1927
5,College,1927-09-10,September,Saturday,1927
6,Mr. Wu,1927-03-26,March,Saturday,1927
7,The Holy Mountain,1927-11-28,November,Monday,1927
8,The Kid Brother,1927-01-17,January,Monday,1927
9,It,1927-01-14,January,Friday,1927
10,London After Midnight,1927-12-03,December,Saturday,1927
11,Berlin: Symphony of a Great City,1927-09-23,September,Friday,1927
12,Underworld,1927-08-20,August,Saturday,1927
13,7th Heaven,1927-05-06,May,Friday,1927
14,The King of Kings,1927-01-01,January,Saturday,1927
15,The Second Hundred Years,1927-10-08,October,Saturday,1927
16,Sugar Daddies,1927-09-10,September,Saturday,1927
17,The Cat and the Canary,1927-09-09,September,Friday,1927
18,My Best Girl,1927-10-31,October,Monday,1927
19,Get Your Man,1927-12-06,December,Tuesday,1927
20,Two Arabian Knights,1927-09-23,September,Friday,1927
21,The Battle of the Century,1927-12-31,December,Saturday,1927
22,Why Girls Love Sailors,1927-07-17,July,Sunday,1927
23,Uncle Tom's Cabin,1927-11-04,November,Friday,1927
24,Hula,1927-08-28,August,Sunday,1927
25,Do Detectives Think?,1927-11-20,November,Sunday,1927
26,Love 'Em and Weep,1927-06-12,June,Sunday,1927
27,Oh Teacher,1927-09-16,September,Friday,1927
28,Putting Pants on Philip,1927-12-03,December,Saturday,1927
29,Call of the Cuckoo,1927-10-15,October,Saturday,1927
30,With Love and Hisses,1927-08-28,August,Sunday,1927
31,"Sailors, Beware!",1927-09-25,September,Sunday,1927
32,Trolley Troubles,1927-09-05,September,Monday,1927
33,Duck Soup,1927-03-13,March,Sunday,1927
34,The Patent Leather Kid,1927-09-01,September,Thursday,1927
35,The Late Mathias Pascal,1927-03-06,March,Sunday,1927
36,The Red Mill,1927-01-29,January,Saturday,1927
37,The Mechanical Cow,1927-10-03,October,Monday,1927
38,Children of Divorce,1927-04-25,April,Monday,1927
