,title,max_theaters,year,total_dom_gross($),studio
0,The Lion King,4802,2019,543638043,Disney
1,Avengers: Endgame,4662,2019,858373000,Disney
2,Spider-Man: Far from Home,4634,2019,390532085,Sony
3,Toy Story 4,4575,2019,434038008,Disney
4,It Chapter Two,4570,2019,211593228,Warner Bros.
5,The Secret Life of Pets 2,4564,2019,158874395,Universal Pictures
6,Despicable Me 3,4535,2017,264624300,Universal Pictures
7,Jurassic World: Fallen Kingdom,4485,2018,417719760,Universal Pictures
8,Aladdin,4476,2019,355559216,Disney
9,Avengers: Infinity War,4474,2018,678815482,Disney
10,Frozen II,4440,2019,477373578,Disney
11,Incredibles 2,4410,2018,608581744,Disney
12,Star Wars: Episode IX - The Rise of Skywalker,4406,2019,515202542,Disney
13,The Dark Knight Rises,4404,2012,448139099,Warner Bros.
14,Mission: Impossible - Fallout,4395,2018,220159104,Paramount Pictures
15,Iron Man 2,4390,2010,312433331,Paramount Pictures
16,The Secret Life of Pets,4381,2016,368384330,Universal Pictures
17,Solo: A Star Wars Story,4381,2018,213767512,Disney
18,Harry Potter and the Deathly Hallows: Part 2,4375,2011,381011219,Warner Bros.
19,Joker,4374,2019,335451311,Warner Bros.
20,The Dark Knight,4366,2008,533345358,Warner Bros.
21,Pirates of the Caribbean: At World's End,4362,2007,309420425,Disney
22,The Avengers,4349,2012,623357910,Disney
23,Deadpool 2,4349,2018,318491426,Twentieth Century Fox
24,Spider-Man: Homecoming,4348,2017,334201140,Sony
25,Guardians of the Galaxy Vol. 2,4347,2017,389813101,Disney
26,Fast & Furious Presents: Hobbs & Shaw,4344,2019,173956935,Universal Pictures
27,The Fate of the Furious,4329,2017,226008385,Universal Pictures
28,Spider-Man 3,4324,2007,336530303,Sony
29,The Amazing Spider-Man 2,4324,2014,202853933,Sony
30,The Amazing Spider-Man,4318,2012,262030663,Sony
31,Minions,4311,2015,336045770,Universal Pictures
32,Captain Marvel,4310,2019,426829839,Disney
33,Onward,4310,2020,61555145,Disney
34,Shazam!,4306,2019,140371656,Warner Bros.
35,Finding Dory,4305,2016,486295561,Disney
36,The Lego Movie 2: The Second Part,4303,2019,105806508,Warner Bros.
37,Jurassic World,4291,2015,652270625,Universal Pictures
38,How to Train Your Dragon: The Hidden World,4286,2019,160799505,Universal Pictures
39,Harry Potter and the Order of the Phoenix,4285,2007,292004738,Warner Bros.
40,Avengers: Age of Ultron,4276,2015,459005868,Disney
41,Pirates of the Caribbean: Dead Men Tell No Tales,4276,2017,172558876,Disney
42,How to Train Your Dragon 2,4268,2014,177002924,Twentieth Century Fox
43,Hotel Transylvania 3: Summer Vacation,4267,2018,167510016,Sony
