title,studio,domestic_gross,foreign_gross,year
Toy Story 3,Buena Vista,415000000.0,652000000,2010
Alice in Wonderland (2010),Buena Vista,334200000.0,691300000,2010
Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000,2010
Inception,WB,292600000.0,535700000,2010
Shrek Forever After,Pixar/Dreamworks,238700000.0,513900000,2010
The Twilight Saga: Eclipse,Sumbadhat Productions,300500000.0,398000000,2010
Iron Man 2,Paramount,312400000.0,311500000,2010
Tangled,Buena Vista,200800000.0,391000000,2010
Despicable Me,Universal,251500000.0,291600000,2010
How to Train Your Dragon,Pixar/Dreamworks,217600000.0,277300000,2010
Clash of the Titans (2010),WB,163200000.0,330000000,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010
The King's Speech,Weinstein Company,135500000.0,275400000,2010
Tron Legacy,Buena Vista,172100000.0,228000000,2010
The Karate Kid,Sony,176600000.0,182500000,2010
Prince of Persia: The Sands of Time,Buena Vista,90800000.0,245600000,2010
Black Swan,Fox Searchlight,107000000.0,222400000,2010
Megamind,Pixar/Dreamworks,148400000.0,173500000,2010
Robin Hood,Universal,105300000.0,216400000,2010
The Last Airbender,Paramount,131800000.0,187900000,2010
Little Fockers,Universal,148400000.0,162200000,2010
Resident Evil: Afterlife,Screen Gems,60100000.0,240100000,2010
Shutter Island,Paramount,128000000.0,166800000,2010
Salt,Sony,118300000.0,175200000,2010
The Tourist,Sony,67600000.0,210700000,2010
The Expendables,Lionsgate,103100000.0,171400000,2010
Grown Ups,Sony,162000000.0,109400000,2010
Knight & Day,Fox,76400000.0,185500000,2010
True Grit,Paramount,171200000.0,81000000,2010
Gulliver's Travels,Fox,42800000.0,194600000,2010
Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000,2010
The Social Network,Sony,97000000.0,128000000,2010
The Sorcerer's Apprentice,Buena Vista,63200000.0,152100000,2010
Due Date,WB,100500000.0,111200000,2010
Eat Pray Love,Sony,80600000.0,124000000,2010
Yogi Bear,WB,100200000.0,101300000,2010
Red,Sumbadhat Productions,90400000.0,108600000,2010
Paranormal Activity 2,Paramount,84800000.0,92800000,2010
The A-Team,Fox,77200000.0,100000000,2010
